Node Number	X Location (m)	Y Location (m)	Z Location (m)	
2	5.7129e-002	2.0186e-002	8.3888e-007	
4	5.7129e-002	2.0124e-002	-1.5811e-003	
10	5.7129e-002	1.9938e-002	-3.1533e-003	
14	5.7129e-002	1.9629e-002	-4.7062e-003	
18	5.7129e-002	1.92e-002	-6.2301e-003	
22	5.7129e-002	1.8653e-002	-7.7156e-003	
26	5.7129e-002	1.7987e-002	-9.1602e-003	
30	5.7129e-002	1.7214e-002	-1.0542e-002	
34	5.7129e-002	1.6332e-002	-1.1863e-002	
38	5.7129e-002	1.5352e-002	-1.3106e-002	
42	5.7129e-002	1.4273e-002	-1.4274e-002	
46	5.7129e-002	1.3104e-002	-1.5354e-002	
50	5.7129e-002	1.186e-002	-1.6334e-002	
54	5.7129e-002	1.0543e-002	-1.7213e-002	
58	5.7129e-002	9.1515e-003	-1.7992e-002	
62	5.7129e-002	7.7133e-003	-1.8654e-002	
66	5.7129e-002	6.2276e-003	-1.9201e-002	
70	5.7129e-002	4.7037e-003	-1.963e-002	
74	5.7129e-002	3.1509e-003	-1.9938e-002	
78	5.7129e-002	1.5786e-003	-2.0124e-002	
82	5.7129e-002	1.6756e-006	-2.0186e-002	
169	5.4626e-002	2.0215e-002	9.0398e-007	
170	5.4626e-002	2.0153e-002	-1.5869e-003	
173	5.4626e-002	1.9966e-002	-3.1637e-003	
175	5.4626e-002	1.9656e-002	-4.7201e-003	
177	5.4626e-002	1.9225e-002	-6.2467e-003	
179	5.4625e-002	1.8677e-002	-7.7341e-003	
181	5.4625e-002	1.801e-002	-9.1798e-003	
183	5.4625e-002	1.7236e-002	-1.0562e-002	
185	5.4625e-002	1.6353e-002	-1.1883e-002	
187	5.4625e-002	1.5373e-002	-1.3127e-002	
189	5.4625e-002	1.4294e-002	-1.4295e-002	
191	5.4625e-002	1.3125e-002	-1.5374e-002	
193	5.4625e-002	1.1881e-002	-1.6355e-002	
195	5.4625e-002	1.0564e-002	-1.7235e-002	
197	5.4625e-002	9.1713e-003	-1.8015e-002	
199	5.4625e-002	7.7318e-003	-1.8677e-002	
201	5.4626e-002	6.2444e-003	-1.9226e-002	
203	5.4626e-002	4.7179e-003	-1.9657e-002	
205	5.4626e-002	3.1614e-003	-1.9966e-002	
207	5.4626e-002	1.5844e-003	-2.0152e-002	
209	5.4626e-002	1.6891e-006	-2.0214e-002	
211	5.2123e-002	2.0197e-002	9.5291e-007	
212	5.2123e-002	2.0134e-002	-1.5902e-003	
215	5.2123e-002	1.9947e-002	-3.1689e-003	
217	5.2123e-002	1.9636e-002	-4.7257e-003	
219	5.2123e-002	1.9205e-002	-6.2516e-003	
221	5.2123e-002	1.8656e-002	-7.7373e-003	
223	5.2123e-002	1.799e-002	-9.1803e-003	
225	5.2123e-002	1.7216e-002	-1.0559e-002	
227	5.2123e-002	1.6335e-002	-1.1877e-002	
229	5.2122e-002	1.5357e-002	-1.3118e-002	
231	5.2122e-002	1.4281e-002	-1.4282e-002	
233	5.2122e-002	1.3115e-002	-1.5359e-002	
235	5.2123e-002	1.1875e-002	-1.6337e-002	
237	5.2123e-002	1.0561e-002	-1.7216e-002	
239	5.2123e-002	9.1719e-003	-1.7994e-002	
241	5.2123e-002	7.735e-003	-1.8657e-002	
243	5.2123e-002	6.2494e-003	-1.9205e-002	
245	5.2123e-002	4.7236e-003	-1.9637e-002	
247	5.2123e-002	3.1666e-003	-1.9947e-002	
249	5.2123e-002	1.5877e-003	-2.0134e-002	
251	5.2123e-002	1.696e-006	-2.0196e-002	
253	4.9621e-002	2.0131e-002	9.8545e-007	
254	4.9622e-002	2.0069e-002	-1.5911e-003	
257	4.9622e-002	1.988e-002	-3.1689e-003	
259	4.9622e-002	1.9569e-002	-4.7232e-003	
261	4.9622e-002	1.9138e-002	-6.2449e-003	
263	4.9622e-002	1.8591e-002	-7.7252e-003	
265	4.9622e-002	1.7926e-002	-9.1619e-003	
267	4.9622e-002	1.7155e-002	-1.0534e-002	
269	4.9622e-002	1.6278e-002	-1.1845e-002	
271	4.9621e-002	1.5305e-002	-1.3078e-002	
273	4.9621e-002	1.4235e-002	-1.4236e-002	
275	4.9621e-002	1.3076e-002	-1.5307e-002	
277	4.9622e-002	1.1842e-002	-1.6279e-002	
279	4.9622e-002	1.0536e-002	-1.7154e-002	
281	4.9622e-002	9.1535e-003	-1.793e-002	
283	4.9622e-002	7.723e-003	-1.8591e-002	
285	4.9622e-002	6.2427e-003	-1.9139e-002	
287	4.9622e-002	4.7211e-003	-1.957e-002	
289	4.9622e-002	3.1667e-003	-1.9881e-002	
291	4.9622e-002	1.5887e-003	-2.0068e-002	
293	4.9621e-002	1.696e-006	-2.0131e-002	
295	4.712e-002	2.0046e-002	1.0109e-006	
296	4.7121e-002	1.9983e-002	-1.5911e-003	
299	4.7122e-002	1.9794e-002	-3.167e-003	
301	4.7122e-002	1.9483e-002	-4.7174e-003	
303	4.7122e-002	1.9052e-002	-6.2335e-003	
305	4.7122e-002	1.8506e-002	-7.7069e-003	
307	4.7121e-002	1.7843e-002	-9.1356e-003	
309	4.7121e-002	1.7076e-002	-1.0499e-002	
311	4.7121e-002	1.6204e-002	-1.1801e-002	
313	4.7121e-002	1.5238e-002	-1.3026e-002	
315	4.7121e-002	1.4174e-002	-1.4175e-002	
317	4.7121e-002	1.3023e-002	-1.5239e-002	
319	4.7121e-002	1.1799e-002	-1.6206e-002	
321	4.7121e-002	1.0501e-002	-1.7076e-002	
323	4.7121e-002	9.1273e-003	-1.7848e-002	
325	4.7122e-002	7.7047e-003	-1.8506e-002	
327	4.7122e-002	6.2313e-003	-1.9053e-002	
329	4.7122e-002	4.7153e-003	-1.9484e-002	
331	4.7122e-002	3.1648e-003	-1.9795e-002	
333	4.7121e-002	1.5888e-003	-1.9983e-002	
335	4.712e-002	1.6932e-006	-2.0046e-002	
337	4.4618e-002	1.9967e-002	1.0387e-006	
338	4.4619e-002	1.9904e-002	-1.5917e-003	
341	4.462e-002	1.9715e-002	-3.1661e-003	
343	4.462e-002	1.9403e-002	-4.7132e-003	
345	4.462e-002	1.8972e-002	-6.2243e-003	
347	4.462e-002	1.8427e-002	-7.6911e-003	
349	4.462e-002	1.7767e-002	-9.1124e-003	
351	4.4619e-002	1.7003e-002	-1.0468e-002	
353	4.4619e-002	1.6136e-002	-1.1761e-002	
355	4.4618e-002	1.5175e-002	-1.2978e-002	
357	4.4618e-002	1.4119e-002	-1.4119e-002	
359	4.4618e-002	1.2975e-002	-1.5176e-002	
361	4.4619e-002	1.1759e-002	-1.6137e-002	
363	4.4619e-002	1.047e-002	-1.7002e-002	
365	4.462e-002	9.1041e-003	-1.7771e-002	
367	4.462e-002	7.6891e-003	-1.8427e-002	
369	4.462e-002	6.2221e-003	-1.8973e-002	
371	4.462e-002	4.7111e-003	-1.9404e-002	
373	4.462e-002	3.164e-003	-1.9715e-002	
375	4.4619e-002	1.5894e-003	-1.9904e-002	
377	4.4618e-002	1.6913e-006	-1.9967e-002	
379	4.2116e-002	1.9902e-002	1.0713e-006	
380	4.2118e-002	1.9838e-002	-1.5931e-003	
383	4.2118e-002	1.9648e-002	-3.1671e-003	
385	4.2119e-002	1.9336e-002	-4.7117e-003	
387	4.2119e-002	1.8905e-002	-6.2188e-003	
389	4.2118e-002	1.8361e-002	-7.6802e-003	
391	4.2118e-002	1.7702e-002	-9.095e-003	
393	4.2117e-002	1.6941e-002	-1.0443e-002	
395	4.2117e-002	1.6078e-002	-1.1729e-002	
397	4.2116e-002	1.5123e-002	-1.2938e-002	
399	4.2116e-002	1.4072e-002	-1.4073e-002	
401	4.2116e-002	1.2936e-002	-1.5124e-002	
403	4.2117e-002	1.1727e-002	-1.6079e-002	
405	4.2117e-002	1.0445e-002	-1.6941e-002	
407	4.2118e-002	9.0868e-003	-1.7707e-002	
409	4.2118e-002	7.6782e-003	-1.8361e-002	
411	4.2119e-002	6.2167e-003	-1.8906e-002	
413	4.2119e-002	4.7097e-003	-1.9337e-002	
415	4.2118e-002	3.1649e-003	-1.9649e-002	
417	4.2118e-002	1.5908e-003	-1.9838e-002	
419	4.2116e-002	1.6914e-006	-1.9901e-002	
421	3.9614e-002	1.9827e-002	1.1006e-006	
422	3.9617e-002	1.9763e-002	-1.5943e-003	
425	3.9618e-002	1.9573e-002	-3.1673e-003	
427	3.9619e-002	1.926e-002	-4.7091e-003	
429	3.9619e-002	1.8829e-002	-6.2115e-003	
431	3.9619e-002	1.8285e-002	-7.6668e-003	
433	3.9619e-002	1.7629e-002	-9.0744e-003	
435	3.9618e-002	1.6872e-002	-1.0414e-002	
437	3.9618e-002	1.6013e-002	-1.1692e-002	
439	3.9617e-002	1.5063e-002	-1.2893e-002	
441	3.9617e-002	1.402e-002	-1.4021e-002	
443	3.9617e-002	1.2891e-002	-1.5064e-002	
