Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1	-0.10571	2.3902e-003	-3.0392e-002	
2	-0.10571	4.4104e-010	-3.0487e-002	
3	-0.10321	2.3854e-003	-3.0379e-002	
4	-0.10321	-6.7128e-009	-3.0473e-002	
9	-0.1007	2.3813e-003	-3.0381e-002	
10	-0.1007	-1.2892e-008	-3.0475e-002	
13	-9.8197e-002	2.3778e-003	-3.0391e-002	
14	-9.8197e-002	-1.8583e-008	-3.0484e-002	
17	-9.5693e-002	2.3743e-003	-3.04e-002	
18	-9.5693e-002	-2.4267e-008	-3.0494e-002	
21	-9.3188e-002	2.3705e-003	-3.0403e-002	
22	-9.3188e-002	-3.0414e-008	-3.0496e-002	
25	-9.0683e-002	2.3662e-003	-3.0396e-002	
26	-9.0684e-002	-3.7165e-008	-3.0488e-002	
29	-8.8179e-002	2.3617e-003	-3.0385e-002	
30	-8.8179e-002	-4.4182e-008	-3.0477e-002	
33	-8.5674e-002	2.3574e-003	-3.0375e-002	
34	-8.5675e-002	-5.1092e-008	-3.0467e-002	
37	-8.317e-002	2.3535e-003	-3.0373e-002	
38	-8.317e-002	-5.7526e-008	-3.0465e-002	
41	-8.0666e-002	2.3505e-003	-3.0384e-002	
42	-8.0666e-002	-6.3179e-008	-3.0475e-002	
45	-7.8162e-002	2.3479e-003	-3.0403e-002	
46	-7.8161e-002	-6.8274e-008	-3.0494e-002	
49	-7.5657e-002	2.3455e-003	-3.0423e-002	
50	-7.5657e-002	-7.3352e-008	-3.0514e-002	
53	-7.3152e-002	2.3427e-003	-3.0434e-002	
54	-7.3153e-002	-7.895e-008	-3.0525e-002	
57	-7.0647e-002	2.3389e-003	-3.0429e-002	
58	-7.0648e-002	-8.5611e-008	-3.0519e-002	
61	-6.8142e-002	2.334e-003	-3.0402e-002	
62	-6.8144e-002	-9.3564e-008	-3.0492e-002	
65	-6.5637e-002	2.3286e-003	-3.0366e-002	
66	-6.5639e-002	-1.0207e-007	-3.0456e-002	
69	-6.3134e-002	2.3236e-003	-3.0337e-002	
70	-6.3135e-002	-1.0707e-007	-3.0426e-002	
73	-6.0631e-002	2.3199e-003	-3.0329e-002	
74	-6.0631e-002	-1.0878e-007	-3.0418e-002	
77	-5.8128e-002	2.3184e-003	-3.0357e-002	
78	-5.8126e-002	-1.0829e-007	-3.0446e-002	
81	-5.5626e-002	2.3189e-003	-3.0417e-002	
82	-5.5623e-002	-1.0585e-007	-3.0506e-002	
85	-5.3122e-002	2.3198e-003	-3.0483e-002	
86	-5.3119e-002	-1.0308e-007	-3.0571e-002	
89	-5.0615e-002	2.3194e-003	-3.0525e-002	
90	-5.0615e-002	-1.0171e-007	-3.0614e-002	
93	-4.8106e-002	2.3159e-003	-3.0516e-002	
94	-4.811e-002	-1.035e-007	-3.0604e-002	
97	-4.5599e-002	2.3081e-003	-3.0434e-002	
98	-4.5607e-002	-1.0975e-007	-3.0522e-002	
101	-4.3096e-002	2.2977e-003	-3.031e-002	
102	-4.3106e-002	-1.1857e-007	-3.0398e-002	
105	-4.0597e-002	2.2883e-003	-3.02e-002	
106	-4.0604e-002	-1.2655e-007	-3.0287e-002	
109	-3.8101e-002	2.2832e-003	-3.016e-002	
110	-3.81e-002	-1.302e-007	-3.0246e-002	
113	-3.5609e-002	2.2857e-003	-3.0244e-002	
114	-3.5597e-002	-1.2627e-007	-3.0332e-002	
117	-3.3121e-002	2.2964e-003	-3.0459e-002	
118	-3.3101e-002	-1.144e-007	-3.0548e-002	
121	-3.062e-002	2.3076e-003	-3.0679e-002	
122	-3.0606e-002	-1.0239e-007	-3.0767e-002	
125	-2.8093e-002	2.3095e-003	-3.0748e-002	
126	-2.8103e-002	-9.9476e-008	-3.0835e-002	
129	-2.5565e-002	2.2905e-003	-3.0507e-002	
130	-2.5611e-002	-8.9097e-008	-3.0601e-002	
133	-2.3118e-002	2.2428e-003	-2.9832e-002	
134	-2.3194e-002	-6.4633e-008	-2.9945e-002	
137	-2.0838e-002	2.1724e-003	-2.8767e-002	
138	-2.092e-002	-6.4589e-008	-2.8895e-002	
141	-1.8728e-002	2.0897e-003	-2.7444e-002	
142	-1.8795e-002	-8.034e-008	-2.7571e-002	
145	-1.6759e-002	2.0007e-003	-2.595e-002	
146	-1.6798e-002	-8.5921e-008	-2.606e-002	
149	-1.4901e-002	1.9084e-003	-2.4338e-002	
150	-1.4907e-002	-7.7768e-008	-2.4418e-002	
153	-1.3132e-002	1.8149e-003	-2.2642e-002	
154	-1.31e-002	-7.5297e-008	-2.2683e-002	
157	-1.1429e-002	1.7217e-003	-2.0887e-002	
158	-1.1358e-002	-7.6794e-008	-2.0884e-002	
161	-9.7548e-003	1.6313e-003	-1.9105e-002	
162	-9.6443e-003	-7.9528e-008	-1.9057e-002	
165	-8.0639e-003	1.5473e-003	-1.7331e-002	
166	-7.9142e-003	-8.1331e-008	-1.7247e-002	
169	-6.306e-003	1.4751e-003	-1.5601e-002	
170	-6.1201e-003	-7.954e-008	-1.5499e-002	
173	-4.4112e-003	1.4236e-003	-1.3975e-002	
174	-4.2018e-003	-6.9646e-008	-1.3889e-002	
