Node Number	X Location (m)	Y Location (m)	Z Location (m)	
2903	-0.10571	-1.1637e-012	-2.54e-002	
2904	-0.10571	1.9915e-003	-2.5322e-002	
2909	-0.10571	3.9707e-003	-2.5088e-002	
2913	-0.10571	5.9258e-003	-2.4699e-002	
2917	-0.10571	7.8525e-003	-2.4156e-002	
2921	-0.10571	9.7223e-003	-2.3466e-002	
2925	-0.10571	1.1532e-002	-2.2631e-002	
2929	-0.10571	1.3283e-002	-2.165e-002	
2933	-0.10571	1.494e-002	-2.0541e-002	
2937	-0.10571	1.6507e-002	-1.9305e-002	
2941	-0.10571	1.797e-002	-1.7951e-002	
2945	-0.10571	1.9322e-002	-1.6487e-002	
2949	-0.10571	2.0555e-002	-1.4922e-002	
2953	-0.10571	2.1664e-002	-1.326e-002	
2957	-0.10571	2.2637e-002	-1.152e-002	
2961	-0.10571	2.3471e-002	-9.7102e-003	
2965	-0.10571	2.416e-002	-7.84e-003	
2969	-0.10571	2.4702e-002	-5.9154e-003	
2973	-0.10571	2.5089e-002	-3.9605e-003	
2977	-0.10571	2.5323e-002	-1.9812e-003	
2981	-0.10571	2.54e-002	-1.3886e-006	
5919	-0.10571	2.5322e-002	1.9901e-003	
5921	-0.10571	2.5088e-002	3.9694e-003	
5923	-0.10571	2.4699e-002	5.9242e-003	
5925	-0.10571	2.4155e-002	7.8547e-003	
5927	-0.10571	2.3465e-002	9.7244e-003	
5929	-0.10571	2.263e-002	1.1534e-002	
5931	-0.10571	2.165e-002	1.3284e-002	
5933	-0.10571	2.0541e-002	1.4941e-002	
5935	-0.10571	1.9304e-002	1.6508e-002	
5937	-0.10571	1.7951e-002	1.797e-002	
5939	-0.10571	1.6486e-002	1.9322e-002	
5941	-0.10571	1.4921e-002	2.0556e-002	
5943	-0.10571	1.326e-002	2.1664e-002	
5945	-0.10571	1.1521e-002	2.2637e-002	
5947	-0.10571	9.7105e-003	2.3471e-002	
5949	-0.10571	7.8404e-003	2.416e-002	
5951	-0.10571	5.9168e-003	2.4701e-002	
5953	-0.10571	3.9618e-003	2.5089e-002	
5955	-0.10571	1.9825e-003	2.5322e-002	
5957	-0.10571	2.6202e-006	2.54e-002	
8723	-0.10571	-2.54e-002	1.3099e-006	
