Node Number	X Location (m)	Y Location (m)	Z Location (m)	
122440	-4.3043e-002	1.8609e-002	-1.7168e-002	
122442	-4.1801e-002	1.6382e-002	-1.9272e-002	
122443	-4.3043e-002	1.7164e-002	-1.8613e-002	
122445	-4.1802e-002	1.4785e-002	-2.0523e-002	
122446	-4.3044e-002	1.5612e-002	-1.9933e-002	
122448	-4.1805e-002	1.3096e-002	-2.164e-002	
122449	-4.3047e-002	1.3966e-002	-2.1119e-002	
122451	-4.1809e-002	1.1319e-002	-2.262e-002	
122452	-4.305e-002	1.2231e-002	-2.2169e-002	
122454	-4.1813e-002	9.4943e-003	-2.3445e-002	
122455	-4.3055e-002	1.0427e-002	-2.3072e-002	
122457	-4.1818e-002	7.6241e-003	-2.4118e-002	
122458	-4.306e-002	8.5763e-003	-2.3823e-002	
122460	-4.1823e-002	5.7238e-003	-2.4638e-002	
122461	-4.3066e-002	6.6876e-003	-2.4421e-002	
122463	-4.1827e-002	3.8091e-003	-2.5005e-002	
122464	-4.3072e-002	4.7765e-003	-2.4865e-002	
122466	-4.183e-002	1.8949e-003	-2.5223e-002	
122467	-4.3077e-002	2.8582e-003	-2.5158e-002	
122469	-4.3083e-002	9.502e-004	-2.5302e-002	
122470	-4.4333e-002	2.5282e-002	-1.907e-003	
122471	-4.5587e-002	2.5372e-002	-9.5656e-004	
122473	-4.4327e-002	2.5063e-002	-3.8267e-003	
122474	-4.5581e-002	2.5227e-002	-2.8741e-003	
122476	-4.4321e-002	2.4694e-002	-5.7465e-003	
122477	-4.5575e-002	2.4933e-002	-4.7985e-003	
122479	-4.4315e-002	2.4172e-002	-7.6511e-003	
122480	-4.5569e-002	2.4486e-002	-6.7152e-003	
122482	-4.4309e-002	2.3496e-002	-9.5252e-003	
122483	-4.5563e-002	2.3886e-002	-8.6088e-003	
122485	-4.4304e-002	2.2665e-002	-1.1362e-002	
122486	-4.5557e-002	2.3131e-002	-1.0468e-002	
122488	-4.43e-002	2.1689e-002	-1.3129e-002	
122489	-4.5552e-002	2.2226e-002	-1.2274e-002	
122491	-4.4297e-002	2.0566e-002	-1.4826e-002	
122492	-4.5548e-002	2.1175e-002	-1.401e-002	
122494	-4.4295e-002	1.9312e-002	-1.6426e-002	
122495	-4.5546e-002	1.9984e-002	-1.5661e-002	
122497	-4.4294e-002	1.7925e-002	-1.7929e-002	
122498	-4.5544e-002	1.866e-002	-1.7216e-002	
122500	-4.4295e-002	1.6421e-002	-1.9316e-002	
122501	-4.5544e-002	1.7212e-002	-1.8664e-002	
122503	-4.4296e-002	1.482e-002	-2.057e-002	
