Node Number	X Location (m)	Y Location (m)	Z Location (m)	
233	4.4763e-002	4.3427e-003	2.0851e-002	
235	4.1676e-002	4.3337e-003	2.071e-002	
237	3.8591e-002	4.3215e-003	2.0542e-002	
239	3.5507e-002	4.3086e-003	2.0364e-002	
241	3.2429e-002	4.2918e-003	2.015e-002	
243	2.9365e-002	4.2656e-003	1.9859e-002	
245	2.6318e-002	4.2258e-003	1.9456e-002	
247	2.3284e-002	4.1771e-003	1.8967e-002	
249	2.0246e-002	4.1286e-003	1.8452e-002	
251	1.7202e-002	4.0884e-003	1.7966e-002	
253	1.4183e-002	4.0511e-003	1.7466e-002	
255	1.1234e-002	4.0016e-003	1.6823e-002	
257	8.3708e-003	3.9269e-003	1.5924e-002	
259	5.4608e-003	3.8491e-003	1.4844e-002	
261	2.1871e-003	3.8155e-003	1.4094e-002	
263	-1.2525e-003	3.8595e-003	1.4709e-002	
265	-4.0195e-003	4.0219e-003	1.6518e-002	
267	-6.2726e-003	4.2675e-003	1.8583e-002	
269	-8.3136e-003	4.5572e-003	2.0709e-002	
271	-1.0291e-002	4.8679e-003	2.2841e-002	
273	-1.2296e-002	5.1868e-003	2.4941e-002	
275	-1.439e-002	5.5071e-003	2.6978e-002	
277	-1.6649e-002	5.8202e-003	2.8898e-002	
279	-1.919e-002	6.108e-003	3.0577e-002	
281	-2.2113e-002	6.3205e-003	3.1743e-002	
283	-2.5244e-002	6.4238e-003	3.2276e-002	
285	-2.8381e-002	6.4518e-003	3.2391e-002	
287	-3.1484e-002	6.459e-003	3.2394e-002	
289	-3.4578e-002	6.4646e-003	3.2389e-002	
291	-3.767e-002	6.47e-003	3.2382e-002	
293	-4.0762e-002	6.4763e-003	3.2379e-002	
295	-4.3855e-002	6.4835e-003	3.2381e-002	
297	-4.6948e-002	6.4911e-003	3.2383e-002	
299	-5.0041e-002	6.4985e-003	3.2384e-002	
301	-5.3134e-002	6.5056e-003	3.2381e-002	
303	-5.6226e-002	6.5127e-003	3.2378e-002	
305	-5.9319e-002	6.5202e-003	3.2376e-002	
307	-6.2412e-002	6.528e-003	3.2375e-002	
309	-6.5505e-002	6.5361e-003	3.2374e-002	
311	-6.8597e-002	6.5442e-003	3.2373e-002	
313	-7.169e-002	6.5524e-003	3.2371e-002	
315	-7.4783e-002	6.5607e-003	3.2368e-002	
317	-7.7876e-002	6.5691e-003	3.2366e-002	
319	-8.0969e-002	6.5778e-003	3.2364e-002	
321	-8.4061e-002	6.5867e-003	3.2362e-002	
323	-8.7154e-002	6.5957e-003	3.2359e-002	
325	-9.0247e-002	6.6048e-003	3.2357e-002	
327	-9.334e-002	6.6141e-003	3.2354e-002	
329	-9.6432e-002	6.6235e-003	3.2351e-002	
331	-9.9525e-002	6.6331e-003	3.2349e-002	
333	-0.10262	6.6429e-003	3.2346e-002	
335	-0.10571	6.6527e-003	3.2343e-002	
337	5.7128e-002	6.3587e-003	2.0502e-002	
338	5.4035e-002	6.3634e-003	2.0471e-002	
341	5.0943e-002	6.3726e-003	2.0456e-002	
343	4.7852e-002	6.3764e-003	2.0417e-002	
345	4.4763e-002	6.3673e-003	2.0324e-002	
347	4.1677e-002	6.3476e-003	2.0184e-002	
349	3.8593e-002	6.3225e-003	2.0017e-002	
351	3.551e-002	6.296e-003	1.984e-002	
353	3.2434e-002	6.2627e-003	1.9627e-002	
355	2.9374e-002	6.2136e-003	1.9339e-002	
357	2.6334e-002	6.142e-003	1.8941e-002	
359	2.3305e-002	6.0546e-003	1.8458e-002	
361	2.027e-002	5.9656e-003	1.7946e-002	
363	1.7229e-002	5.8883e-003	1.7463e-002	
365	1.4221e-002	5.8146e-003	1.6968e-002	
367	1.1296e-002	5.7201e-003	1.6336e-002	
369	8.4613e-003	5.5835e-003	1.5456e-002	
371	5.5488e-003	5.4258e-003	1.4374e-002	
373	2.1893e-003	5.3312e-003	1.3593e-002	
375	-1.3823e-003	5.4372e-003	1.4266e-002	
377	-4.1921e-003	5.7623e-003	1.6145e-002	
379	-6.4236e-003	6.1794e-003	1.8198e-002	
381	-8.425e-003	6.6411e-003	2.0264e-002	
383	-1.0359e-002	7.1239e-003	2.2317e-002	
385	-1.232e-002	7.6148e-003	2.4335e-002	
387	-1.4372e-002	8.1059e-003	2.6297e-002	
389	-1.6597e-002	8.5865e-003	2.8157e-002	
391	-1.9124e-002	9.0302e-003	2.9806e-002	
393	-2.2062e-002	9.3587e-003	3.0969e-002	
395	-2.522e-002	9.5164e-003	3.1501e-002	
397	-2.8372e-002	9.5568e-003	3.1615e-002	
399	-3.1479e-002	9.5652e-003	3.1617e-002	
401	-3.4573e-002	9.5711e-003	3.1611e-002	
403	-3.7666e-002	9.5767e-003	3.1603e-002	
405	-4.0758e-002	9.5836e-003	3.16e-002	
407	-4.385e-002	9.5918e-003	3.16e-002	
409	-4.6943e-002	9.6005e-003	3.1601e-002	
411	-5.0037e-002	9.6089e-003	3.1601e-002	
413	-5.313e-002	9.6168e-003	3.1598e-002	
415	-5.6223e-002	9.6247e-003	3.1594e-002	
417	-5.9316e-002	9.633e-003	3.159e-002	
419	-6.2409e-002	9.6418e-003	3.1588e-002	
421	-6.5502e-002	9.6509e-003	3.1586e-002	
423	-6.8595e-002	9.66e-003	3.1584e-002	
425	-7.1688e-002	9.6691e-003	3.158e-002	
427	-7.4781e-002	9.6783e-003	3.1577e-002	
429	-7.7874e-002	9.6878e-003	3.1573e-002	
431	-8.0967e-002	9.6975e-003	3.157e-002	
433	-8.406e-002	9.7075e-003	3.1566e-002	
435	-8.7153e-002	9.7176e-003	3.1563e-002	
437	-9.0246e-002	9.7278e-003	3.1559e-002	
439	-9.3339e-002	9.7381e-003	3.1555e-002	
441	-9.6432e-002	9.7487e-003	3.1551e-002	
443	-9.9525e-002	9.7595e-003	3.1547e-002	
445	-0.10262	9.7705e-003	3.1543e-002	
447	-0.10571	9.7814e-003	3.1538e-002	
449	5.7128e-002	8.2786e-003	1.9805e-002	
450	5.4035e-002	8.28e-003	1.9773e-002	
453	5.0942e-002	8.2874e-003	1.9757e-002	
455	4.7851e-002	8.2874e-003	1.9719e-002	
457	4.4763e-002	8.2692e-003	1.9627e-002	
459	4.1677e-002	8.2359e-003	1.9489e-002	
461	3.8593e-002	8.1948e-003	1.9326e-002	
463	3.5511e-002	8.1512e-003	1.9152e-002	
465	3.2437e-002	8.0975e-003	1.8944e-002	
467	2.938e-002	8.0212e-003	1.8662e-002	
469	2.6343e-002	7.912e-003	1.8274e-002	
471	2.3318e-002	7.7791e-003	1.7802e-002	
473	2.0286e-002	7.6418e-003	1.7302e-002	
475	1.7247e-002	7.519e-003	1.6828e-002	
477	1.4245e-002	7.3995e-003	1.6344e-002	
479	1.1337e-002	7.2486e-003	1.5728e-002	
481	8.5222e-003	7.0351e-003	1.4875e-002	
483	5.6065e-003	6.776e-003	1.3811e-002	
485	2.186e-003	6.5997e-003	1.3024e-002	
487	-1.4774e-003	6.7864e-003	1.3727e-002	
489	-4.3214e-003	7.3118e-003	1.5625e-002	
491	-6.5395e-003	7.9239e-003	1.7637e-002	
493	-8.5116e-003	8.5706e-003	1.9629e-002	
495	-1.0412e-002	9.2327e-003	2.1592e-002	
497	-1.2338e-002	9.8997e-003	2.3519e-002	
499	-1.4358e-002	1.0564e-002	2.5394e-002	
501	-1.6557e-002	1.1215e-002	2.7183e-002	
503	-1.9074e-002	1.1816e-002	2.8785e-002	
505	-2.2023e-002	1.2261e-002	2.9926e-002	
507	-2.5201e-002	1.2472e-002	3.0449e-002	
509	-2.8364e-002	1.2524e-002	3.056e-002	
511	-3.1473e-002	1.2532e-002	3.0561e-002	
513	-3.4568e-002	1.2537e-002	3.0555e-002	
515	-3.7661e-002	1.2542e-002	3.0547e-002	
517	-4.0753e-002	1.2548e-002	3.0543e-002	
519	-4.3846e-002	1.2556e-002	3.0543e-002	
521	-4.6939e-002	1.2565e-002	3.0543e-002	
523	-5.0033e-002	1.2573e-002	3.0542e-002	
525	-5.3126e-002	1.258e-002	3.0538e-002	
527	-5.622e-002	1.2588e-002	3.0533e-002	
529	-5.9313e-002	1.2595e-002	3.0529e-002	
531	-6.2406e-002	1.2604e-002	3.0526e-002	
533	-6.5499e-002	1.2612e-002	3.0524e-002	
535	-6.8592e-002	1.2621e-002	3.0521e-002	
537	-7.1685e-002	1.2629e-002	3.0517e-002	
539	-7.4779e-002	1.2638e-002	3.0512e-002	
541	-7.7872e-002	1.2647e-002	3.0508e-002	
543	-8.0965e-002	1.2656e-002	3.0503e-002	
545	-8.4058e-002	1.2665e-002	3.0499e-002	
547	-8.7151e-002	1.2675e-002	3.0495e-002	
549	-9.0245e-002	1.2684e-002	3.049e-002	
551	-9.3338e-002	1.2694e-002	3.0485e-002	
553	-9.6431e-002	1.2704e-002	3.048e-002	
555	-9.9524e-002	1.2714e-002	3.0475e-002	
557	-0.10262	1.2724e-002	3.047e-002	
559	-0.10571	1.2735e-002	3.0465e-002	
561	5.7128e-002	1.0148e-002	1.8915e-002	
562	5.4035e-002	1.0145e-002	1.8884e-002	
565	5.0942e-002	1.0149e-002	1.8869e-002	
567	4.7851e-002	1.0144e-002	1.8831e-002	
569	4.4763e-002	1.0114e-002	1.8743e-002	
571	4.1677e-002	1.0065e-002	1.8611e-002	
573	3.8593e-002	1.0006e-002	1.8454e-002	
575	3.5511e-002	9.9427e-003	1.8286e-002	
577	3.2438e-002	9.8658e-003	1.8086e-002	
579	2.9383e-002	9.7585e-003	1.7816e-002	
581	2.6349e-002	9.6073e-003	1.7443e-002	
583	2.3327e-002	9.4233e-003	1.6991e-002	
585	2.0295e-002	9.2315e-003	1.651e-002	
587	1.7257e-002	9.0564e-003	1.6055e-002	
589	1.426e-002	8.8835e-003	1.559e-002	
591	1.1364e-002	8.6662e-003	1.5002e-002	
593	8.5626e-003	8.3627e-003	1.4189e-002	
595	5.6435e-003	7.9851e-003	1.3165e-002	
597	2.18e-003	7.7133e-003	1.2397e-002	
599	-1.5465e-003	7.9926e-003	1.3102e-002	
601	-4.4176e-003	8.7452e-003	1.4966e-002	
603	-6.6275e-003	9.5726e-003	1.6903e-002	
605	-8.5781e-003	1.0418e-002	1.8797e-002	
607	-1.0452e-002	1.1268e-002	2.0653e-002	
609	-1.2352e-002	1.2119e-002	2.2473e-002	
611	-1.4347e-002	1.2962e-002	2.4247e-002	
613	-1.6527e-002	1.3786e-002	2.5947e-002	
615	-1.9036e-002	1.4548e-002	2.7481e-002	
617	-2.1993e-002	1.5111e-002	2.8584e-002	
619	-2.5185e-002	1.5376e-002	2.909e-002	
621	-2.8356e-002	1.5438e-002	2.9196e-002	
623	-3.1468e-002	1.5446e-002	2.9198e-002	
625	-3.4563e-002	1.5449e-002	2.9191e-002	
627	-3.7656e-002	1.5452e-002	2.9183e-002	
629	-4.0748e-002	1.5457e-002	2.9179e-002	
631	-4.3841e-002	1.5464e-002	2.9179e-002	
633	-4.6935e-002	1.5472e-002	2.9179e-002	
635	-5.0029e-002	1.5478e-002	2.9177e-002	
637	-5.3123e-002	1.5484e-002	2.9173e-002	
639	-5.6216e-002	1.549e-002	2.9169e-002	
641	-5.9309e-002	1.5496e-002	2.9164e-002	
643	-6.2403e-002	1.5503e-002	2.9161e-002	
645	-6.5496e-002	1.551e-002	2.9158e-002	
647	-6.859e-002	1.5518e-002	2.9155e-002	
649	-7.1683e-002	1.5525e-002	2.9151e-002	
651	-7.4776e-002	1.5531e-002	2.9146e-002	
653	-7.787e-002	1.5539e-002	2.9141e-002	
655	-8.0963e-002	1.5546e-002	2.9137e-002	
657	-8.4057e-002	1.5554e-002	2.9133e-002	
659	-8.715e-002	1.5562e-002	2.9128e-002	
661	-9.0244e-002	1.5569e-002	2.9123e-002	
663	-9.3337e-002	1.5577e-002	2.9118e-002	
665	-9.643e-002	1.5585e-002	2.9113e-002	
667	-9.9524e-002	1.5594e-002	2.9108e-002	
669	-0.10262	1.5602e-002	2.9102e-002	
671	-0.10571	1.561e-002	2.9097e-002	
673	5.7128e-002	1.1936e-002	1.7842e-002	
674	5.4035e-002	1.1927e-002	1.7813e-002	
677	5.0942e-002	1.1927e-002	1.7799e-002	
679	4.785e-002	1.1915e-002	1.7764e-002	
681	4.4762e-002	1.1874e-002	1.7681e-002	
683	4.1677e-002	1.1808e-002	1.7557e-002	
685	3.8593e-002	1.1728e-002	1.741e-002	
687	3.5511e-002	1.1644e-002	1.7253e-002	
689	3.2438e-002	1.1542e-002	1.7066e-002	
691	2.9384e-002	1.1402e-002	1.6812e-002	
693	2.6352e-002	1.1206e-002	1.6463e-002	
695	2.3331e-002	1.0967e-002	1.6039e-002	
697	2.03e-002	1.0717e-002	1.5588e-002	
699	1.7263e-002	1.0486e-002	1.5162e-002	
701	1.4269e-002	1.0255e-002	1.4727e-002	
703	1.1379e-002	9.9645e-003	1.4178e-002	
705	8.586e-003	9.5618e-003	1.342e-002	
707	5.6638e-003	9.0549e-003	1.2462e-002	
709	2.1734e-003	8.6802e-003	1.174e-002	
711	-1.5916e-003	9.0574e-003	1.2418e-002	
713	-4.4822e-003	1.0051e-002	1.419e-002	
715	-6.6881e-003	1.1105e-002	1.6014e-002	
717	-8.6245e-003	1.2156e-002	1.7784e-002	
719	-1.0481e-002	1.32e-002	1.9513e-002	
721	-1.2362e-002	1.4236e-002	2.1208e-002	
723	-1.434e-002	1.526e-002	2.2863e-002	
725	-1.6505e-002	1.6257e-002	2.4455e-002	
727	-1.9009e-002	1.7177e-002	2.5901e-002	
729	-2.1972e-002	1.7856e-002	2.6948e-002	
731	-2.5174e-002	1.8173e-002	2.7429e-002	
733	-2.835e-002	1.8244e-002	2.7531e-002	
735	-3.1464e-002	1.8251e-002	2.7532e-002	
737	-3.4559e-002	1.8252e-002	2.7527e-002	
739	-3.7652e-002	1.8253e-002	2.7519e-002	
741	-4.0745e-002	1.8256e-002	2.7516e-002	
743	-4.3837e-002	1.8261e-002	2.7515e-002	
745	-4.6931e-002	1.8267e-002	2.7516e-002	
747	-5.0025e-002	1.8273e-002	2.7515e-002	
749	-5.3119e-002	1.8276e-002	2.7511e-002	
751	-5.6213e-002	1.828e-002	2.7507e-002	
753	-5.9306e-002	1.8284e-002	2.7504e-002	
755	-6.24e-002	1.8289e-002	2.7501e-002	
757	-6.5494e-002	1.8294e-002	2.7499e-002	
759	-6.8587e-002	1.8299e-002	2.7496e-002	
761	-7.1681e-002	1.8303e-002	2.7492e-002	
763	-7.4775e-002	1.8308e-002	2.7488e-002	
765	-7.7868e-002	1.8313e-002	2.7484e-002	
767	-8.0962e-002	1.8318e-002	2.748e-002	
769	-8.4055e-002	1.8323e-002	2.7476e-002	
771	-8.7149e-002	1.8328e-002	2.7472e-002	
773	-9.0243e-002	1.8333e-002	2.7468e-002	
775	-9.3336e-002	1.8338e-002	2.7464e-002	
777	-9.643e-002	1.8344e-002	2.7459e-002	
779	-9.9523e-002	1.8349e-002	2.7455e-002	
781	-0.10262	1.8355e-002	2.745e-002	
783	-0.10571	1.836e-002	2.7445e-002	
785	5.7128e-002	1.365e-002	1.6566e-002	
786	5.4035e-002	1.3636e-002	1.6541e-002	
789	5.0941e-002	1.3632e-002	1.6529e-002	
791	4.785e-002	1.3613e-002	1.6498e-002	
793	4.4762e-002	1.3559e-002	1.6424e-002	
