Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1913	5.71e-002	1.2663e-006	1.3836e-002	
1914	5.71e-002	1.4052e-003	1.3764e-002	
1921	5.71e-002	2.7887e-003	1.3551e-002	
1927	5.71e-002	4.0997e-003	1.3214e-002	
1933	5.71e-002	5.3374e-003	1.2765e-002	
1939	5.71e-002	6.542e-003	1.2191e-002	
1945	5.71e-002	7.6938e-003	1.1499e-002	
1951	5.71e-002	8.7994e-003	1.0677e-002	
1957	5.71e-002	9.7792e-003	9.7879e-003	
1963	5.71e-002	1.0725e-002	8.7405e-003	
1969	5.71e-002	1.151e-002	7.6764e-003	
1975	5.71e-002	1.2223e-002	6.4827e-003	
1981	5.71e-002	1.2795e-002	5.2663e-003	
1987	5.71e-002	1.324e-002	4.0161e-003	
1993	5.71e-002	1.3561e-002	2.7403e-003	
1999	5.71e-002	1.3766e-002	1.3829e-003	
2005	5.71e-002	1.3836e-002	-6.9071e-007	
2007	5.71e-002	1.3764e-002	-1.4045e-003	
2008	5.4003e-002	1.3819e-002	-6.1558e-007	
2009	5.4003e-002	1.3747e-002	-1.4098e-003	
2013	5.0906e-002	1.3803e-002	-5.4033e-007	
2014	5.0906e-002	1.3731e-002	-1.4154e-003	
2017	4.781e-002	1.3763e-002	-4.6649e-007	
2018	4.781e-002	1.369e-002	-1.4196e-003	
2021	4.4714e-002	1.367e-002	-3.9616e-007	
2022	4.4716e-002	1.3596e-002	-1.4207e-003	
2025	4.1621e-002	1.353e-002	-3.2937e-007	
2026	4.1624e-002	1.3456e-002	-1.4191e-003	
2029	3.8528e-002	1.3359e-002	-2.649e-007	
2030	3.8534e-002	1.3284e-002	-1.4163e-003	
2033	3.5437e-002	1.3169e-002	-2.0205e-007	
2034	3.5445e-002	1.3094e-002	-1.4133e-003	
2037	3.2349e-002	1.2938e-002	-1.436e-007	
2038	3.2362e-002	1.2862e-002	-1.4088e-003	
2041	2.9268e-002	1.2628e-002	-9.2731e-008	
2042	2.9289e-002	1.2553e-002	-1.4013e-003	
2045	2.6199e-002	1.2211e-002	-6.3464e-008	
2046	2.6231e-002	1.2137e-002	-1.3897e-003	
2049	2.3144e-002	1.1707e-002	-4.2391e-008	
2050	2.3187e-002	1.1634e-002	-1.3764e-003	
2053	2.0094e-002	1.1166e-002	-2.4931e-008	
2054	2.0146e-002	1.1092e-002	-1.3653e-003	
2057	1.7044e-002	1.0631e-002	-6.8654e-009	
2058	1.7105e-002	1.0555e-002	-1.3594e-003	
2061	1.3999e-002	1.0065e-002	8.0085e-009	
2062	1.4079e-002	9.9893e-003	-1.3577e-003	
2065	1.0983e-002	9.3647e-003	8.8547e-009	
2066	1.1099e-002	9.2972e-003	-1.3572e-003	
2069	8.0247e-003	8.4472e-003	-1.2314e-008	
2070	8.1828e-003	8.3934e-003	-1.3576e-003	
2073	5.1e-003	7.4292e-003	-4.2513e-008	
2074	5.2696e-003	7.357e-003	-1.3777e-003	
2077	2.0994e-003	6.6676e-003	-5.7597e-008	
2078	2.1875e-003	6.5276e-003	-1.4284e-003	
2081	-9.9826e-004	6.6292e-003	-8.6691e-008	
2082	-1.1044e-003	6.4885e-003	-1.4407e-003	
2085	-3.943e-003	7.5664e-003	-7.9396e-008	
2086	-4.1887e-003	7.5589e-003	-1.392e-003	
2089	-6.5951e-003	9.1655e-003	-1.3547e-007	
2090	-6.8582e-003	9.2566e-003	-1.3873e-003	
