Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1	5.7128e-002	1.4547e-003	1.7551e-002	
2	5.7128e-002	-7.3804e-009	1.7612e-002	
3	5.4623e-002	1.4626e-003	1.7611e-002	
4	5.4623e-002	3.5323e-008	1.7672e-002	
9	5.2118e-002	1.4662e-003	1.7595e-002	
10	5.2118e-002	6.3174e-008	1.7656e-002	
13	4.9614e-002	1.4673e-003	1.753e-002	
14	4.9613e-002	8.142e-008	1.7592e-002	
17	4.711e-002	1.4673e-003	1.7444e-002	
18	4.7109e-002	9.5454e-008	1.7506e-002	
21	4.4606e-002	1.4679e-003	1.7364e-002	
22	4.4605e-002	1.1069e-007	1.7426e-002	
25	4.2102e-002	1.4695e-003	1.7297e-002	
26	4.21e-002	1.2846e-007	1.7359e-002	
29	3.9599e-002	1.4707e-003	1.722e-002	
30	3.9596e-002	1.443e-007	1.7283e-002	
33	3.7098e-002	1.4704e-003	1.7108e-002	
34	3.7093e-002	1.5325e-007	1.7172e-002	
37	3.4602e-002	1.4675e-003	1.6939e-002	
38	3.4594e-002	1.5035e-007	1.7002e-002	
41	3.2114e-002	1.4611e-003	1.669e-002	
42	3.2101e-002	1.3117e-007	1.6753e-002	
45	2.9635e-002	1.4521e-003	1.6373e-002	
46	2.9615e-002	9.8429e-008	1.6435e-002	
49	2.716e-002	1.4423e-003	1.6018e-002	
50	2.7135e-002	5.8061e-008	1.608e-002	
53	2.4685e-002	1.4331e-003	1.5652e-002	
54	2.4657e-002	1.5706e-008	1.5714e-002	
57	2.2205e-002	1.426e-003	1.5303e-002	
58	2.2176e-002	-2.2921e-008	1.5366e-002	
61	1.9722e-002	1.4215e-003	1.4984e-002	
62	1.969e-002	2.5428e-008	1.5048e-002	
65	1.7249e-002	1.4172e-003	1.4646e-002	
66	1.7208e-002	7.7666e-008	1.4708e-002	
69	1.4798e-002	1.411e-003	1.4225e-002	
70	1.4739e-002	1.1298e-007	1.4283e-002	
73	1.2387e-002	1.4011e-003	1.3665e-002	
74	1.2299e-002	1.1848e-007	1.3714e-002	
77	1.0034e-002	1.3865e-003	1.2923e-002	
78	9.9119e-003	8.554e-008	1.2953e-002	
81	7.7215e-003	1.3736e-003	1.203e-002	
82	7.5746e-003	2.5137e-008	1.205e-002	
85	5.3639e-003	1.3746e-003	1.1148e-002	
86	5.2231e-003	-2.6839e-008	1.1186e-002	
89	2.8708e-003	1.3911e-003	1.0489e-002	
90	2.795e-003	-3.2124e-008	1.0568e-002	
93	2.3024e-004	1.4005e-003	1.0386e-002	
94	2.9578e-004	-7.7379e-008	1.0473e-002	
97	-2.3092e-003	1.3879e-003	1.1138e-002	
98	-2.1201e-003	-3.6765e-008	1.1137e-002	
101	-4.5059e-003	1.3977e-003	1.2473e-002	
102	-4.2853e-003	-7.8528e-008	1.2394e-002	
105	-6.4493e-003	1.443e-003	1.4053e-002	
106	-6.2487e-003	-9.9907e-008	1.3951e-002	
109	-8.247e-003	1.5129e-003	1.5747e-002	
110	-8.0823e-003	-9.5261e-008	1.5658e-002	
113	-9.9675e-003	1.5973e-003	1.7496e-002	
114	-9.8431e-003	-7.6747e-008	1.7441e-002	
117	-1.1659e-002	1.6901e-003	1.9263e-002	
118	-1.1576e-002	-5.3231e-008	1.925e-002	
121	-1.3362e-002	1.7873e-003	2.1015e-002	
122	-1.332e-002	-3.1821e-008	2.1049e-002	
125	-1.511e-002	1.8862e-003	2.2728e-002	
126	-1.5108e-002	-1.7388e-008	2.2804e-002	
129	-1.6926e-002	1.9853e-003	2.4379e-002	
130	-1.6961e-002	-1.6228e-008	2.449e-002	
133	-1.8839e-002	2.0824e-003	2.5934e-002	
134	-1.8906e-002	-3.5617e-008	2.6069e-002	
137	-2.0886e-002	2.1745e-003	2.7341e-002	
138	-2.0975e-002	1.4032e-008	2.7482e-002	
141	-2.3113e-002	2.2555e-003	2.8506e-002	
142	-2.32e-002	5.2479e-008	2.8632e-002	
145	-2.554e-002	2.3123e-003	2.9266e-002	
146	-2.5595e-002	1.1234e-008	2.9369e-002	
149	-2.8073e-002	2.3349e-003	2.9541e-002	
150	-2.8084e-002	-3.3476e-008	2.9634e-002	
153	-3.0605e-002	2.3319e-003	2.9458e-002	
154	-3.0588e-002	-4.3248e-008	2.9552e-002	
157	-3.3105e-002	2.3174e-003	2.9204e-002	
158	-3.3081e-002	-8.5801e-008	2.9299e-002	
161	-3.5589e-002	2.3037e-003	2.8954e-002	
162	-3.5574e-002	-1.2743e-007	2.9047e-002	
165	-3.8079e-002	2.2999e-003	2.8853e-002	
166	-3.8077e-002	-1.4091e-007	2.8945e-002	
169	-4.0574e-002	2.3053e-003	2.8896e-002	
170	-4.0582e-002	-1.2722e-007	2.8989e-002	
173	-4.3073e-002	2.3161e-003	2.902e-002	
174	-4.3084e-002	-9.8334e-008	2.9113e-002	
177	-4.5576e-002	2.3281e-003	2.916e-002	
178	-4.5586e-002	-6.5787e-008	2.9254e-002	
181	-4.8085e-002	2.3371e-003	2.9254e-002	
182	-4.809e-002	-4.2158e-008	2.9348e-002	
185	-5.0596e-002	2.3408e-003	2.9266e-002	
186	-5.0595e-002	-3.4363e-008	2.936e-002	
189	-5.3104e-002	2.3408e-003	2.9218e-002	
190	-5.31e-002	-3.7764e-008	2.9312e-002	
193	-5.5608e-002	2.3392e-003	2.9144e-002	
194	-5.5604e-002	-4.6197e-008	2.9239e-002	
197	-5.8111e-002	2.338e-003	2.9076e-002	
198	-5.8109e-002	-5.3552e-008	2.917e-002	
201	-6.0614e-002	2.3393e-003	2.9044e-002	
202	-6.0614e-002	-5.4015e-008	2.9138e-002	
205	-6.3118e-002	2.3431e-003	2.9052e-002	
206	-6.3119e-002	-4.7678e-008	2.9147e-002	
209	-6.5622e-002	2.3486e-003	2.9086e-002	
210	-6.5625e-002	-3.9135e-008	2.9181e-002	
213	-6.8128e-002	2.3545e-003	2.9126e-002	
214	-6.813e-002	-2.9222e-008	2.9222e-002	
217	-7.0634e-002	2.3599e-003	2.9156e-002	
218	-7.0635e-002	-2.1231e-008	2.9252e-002	
221	-7.314e-002	2.3638e-003	2.9163e-002	
222	-7.314e-002	-1.7773e-008	2.9259e-002	
225	-7.5646e-002	2.3667e-003	2.915e-002	
226	-7.5646e-002	-1.8027e-008	2.9247e-002	
229	-7.8152e-002	2.369e-003	2.9128e-002	
230	-7.8151e-002	-2.0107e-008	2.9225e-002	
233	-8.0657e-002	2.3715e-003	2.9106e-002	
234	-8.0657e-002	-2.2129e-008	2.9203e-002	
237	-8.3162e-002	2.3746e-003	2.9094e-002	
238	-8.3162e-002	-2.2221e-008	2.9191e-002	
241	-8.5667e-002	2.3786e-003	2.9096e-002	
242	-8.5667e-002	-1.9582e-008	2.9194e-002	
245	-8.8172e-002	2.3832e-003	2.9107e-002	
246	-8.8173e-002	-1.5289e-008	2.9205e-002	
249	-9.0678e-002	2.388e-003	2.912e-002	
