Node Number	X Location (m)	Y Location (m)	Z Location (m)	
2767	5.71e-002	1.3836e-002	5.5864e-007	
2768	5.71e-002	1.3788e-002	-1.1422e-003	
2775	5.71e-002	1.3647e-002	-2.2771e-003	
2781	5.71e-002	1.3412e-002	-3.3965e-003	
2787	5.71e-002	1.3086e-002	-4.4928e-003	
2793	5.71e-002	1.267e-002	-5.5584e-003	
2799	5.71e-002	1.2166e-002	-6.5883e-003	
2805	5.71e-002	1.158e-002	-7.5705e-003	
2811	5.71e-002	1.0915e-002	-8.5016e-003	
2817	5.71e-002	1.0176e-002	-9.3744e-003	
2823	5.71e-002	9.367e-003	-1.0183e-002	
2829	5.71e-002	8.4897e-003	-1.0924e-002	
2835	5.71e-002	7.5583e-003	-1.1588e-002	
2841	5.71e-002	6.5754e-003	-1.2173e-002	
2847	5.71e-002	5.5477e-003	-1.2675e-002	
2853	5.71e-002	4.4817e-003	-1.309e-002	
2859	5.71e-002	3.3851e-003	-1.3415e-002	
2865	5.71e-002	2.2655e-003	-1.3648e-002	
2871	5.71e-002	1.1305e-003	-1.3789e-002	
2877	5.71e-002	1.2934e-006	-1.3836e-002	
5471	5.71e-002	-1.3836e-002	-6.4529e-007	
5472	5.71e-002	-1.3788e-002	1.1421e-003	
5479	5.71e-002	-1.3647e-002	2.2769e-003	
5485	5.71e-002	-1.3412e-002	3.3963e-003	
5491	5.71e-002	-1.3086e-002	4.4926e-003	
5497	5.71e-002	-1.267e-002	5.5581e-003	
5503	5.71e-002	-1.2167e-002	6.5875e-003	
5509	5.71e-002	-1.1581e-002	7.5697e-003	
5515	5.71e-002	-1.0915e-002	8.5012e-003	
5521	5.71e-002	-1.0176e-002	9.374e-003	
5527	5.71e-002	-9.3674e-003	1.0182e-002	
5533	5.71e-002	-8.4884e-003	1.0925e-002	
5539	5.71e-002	-7.5569e-003	1.1589e-002	
5545	5.71e-002	-6.5741e-003	1.2174e-002	
5551	5.71e-002	-5.5463e-003	1.2676e-002	
5557	5.71e-002	-4.4804e-003	1.309e-002	
5563	5.71e-002	-3.3838e-003	1.3415e-002	
5569	5.71e-002	-2.2642e-003	1.3649e-002	
5575	5.71e-002	-1.1292e-003	1.3789e-002	
5579	5.71e-002	2.5733e-009	1.3836e-002	
8165	5.4595e-002	1.3201e-006	-1.3821e-002	
8166	5.4595e-002	-1.1451e-003	-1.3774e-002	
8167	5.71e-002	-1.1414e-003	-1.3788e-002	
8171	5.4595e-002	-2.2821e-003	-1.3632e-002	
8172	5.71e-002	-2.2764e-003	-1.3647e-002	
8175	5.4595e-002	-3.4021e-003	-1.3396e-002	
8176	5.71e-002	-3.3958e-003	-1.3412e-002	
8179	5.4595e-002	-4.4976e-003	-1.3069e-002	
8180	5.71e-002	-4.4921e-003	-1.3086e-002	
8183	5.4595e-002	-5.5615e-003	-1.2653e-002	
8184	5.71e-002	-5.5578e-003	-1.2671e-002	
8187	5.4594e-002	-6.5883e-003	-1.215e-002	
8188	5.71e-002	-6.587e-003	-1.2167e-002	
8191	5.4594e-002	-7.5675e-003	-1.1566e-002	
8192	5.71e-002	-7.5693e-003	-1.1581e-002	
8195	5.4594e-002	-8.4956e-003	-1.0902e-002	
8196	5.71e-002	-8.5007e-003	-1.0916e-002	
8199	5.4594e-002	-9.3651e-003	-1.0165e-002	
8200	5.71e-002	-9.3736e-003	-1.0177e-002	
8203	5.4594e-002	-1.0171e-002	-9.3594e-003	
8204	5.71e-002	-1.0182e-002	-9.3678e-003	
8207	5.4594e-002	-1.0911e-002	-8.484e-003	
8208	5.71e-002	-1.0925e-002	-8.4891e-003	
8211	5.4594e-002	-1.1573e-002	-7.5559e-003	
8212	5.71e-002	-1.1589e-002	-7.5576e-003	
8215	5.4594e-002	-1.2157e-002	-6.5761e-003	
8216	5.71e-002	-1.2173e-002	-6.5748e-003	
8219	5.4595e-002	-1.2658e-002	-5.5508e-003	
8220	5.71e-002	-1.2675e-002	-5.5471e-003	
8223	5.4595e-002	-1.3073e-002	-4.4866e-003	
8224	5.71e-002	-1.309e-002	-4.4811e-003	
8227	5.4595e-002	-1.3399e-002	-3.3909e-003	
8228	5.71e-002	-1.3415e-002	-3.3845e-003	
8231	5.4595e-002	-1.3634e-002	-2.2707e-003	
8232	5.71e-002	-1.3649e-002	-2.2649e-003	
8235	5.4595e-002	-1.3775e-002	-1.1335e-003	
8236	5.71e-002	-1.3789e-002	-1.1299e-003	
8239	5.4595e-002	-1.3821e-002	-6.3429e-007	
8241	5.209e-002	1.3477e-006	-1.381e-002	
8242	5.209e-002	-1.149e-003	-1.3763e-002	
8245	5.209e-002	-2.2884e-003	-1.362e-002	
8247	5.209e-002	-3.4093e-003	-1.3383e-002	
8249	5.2089e-002	-4.5043e-003	-1.3055e-002	
8251	5.2089e-002	-5.5667e-003	-1.2639e-002	
8253	5.2089e-002	-6.5911e-003	-1.2136e-002	
8255	5.2089e-002	-7.5674e-003	-1.1553e-002	
8257	5.2088e-002	-8.4924e-003	-1.0891e-002	
8259	5.2088e-002	-9.3588e-003	-1.0156e-002	
8261	5.2088e-002	-1.0162e-002	-9.3531e-003	
8263	5.2088e-002	-1.09e-002	-8.4809e-003	
8265	5.2089e-002	-1.156e-002	-7.5559e-003	
8267	5.2089e-002	-1.2143e-002	-6.579e-003	
8269	5.2089e-002	-1.2644e-002	-5.556e-003	
8271	5.2089e-002	-1.3059e-002	-4.4934e-003	
8273	5.209e-002	-1.3386e-002	-3.3981e-003	
8275	5.209e-002	-1.3622e-002	-2.277e-003	
8277	5.209e-002	-1.3764e-002	-1.1374e-003	
8279	5.209e-002	-1.381e-002	-6.2279e-007	
8281	4.9585e-002	1.3731e-006	-1.3791e-002	
8282	4.9585e-002	-1.1526e-003	-1.3743e-002	
8285	4.9585e-002	-2.294e-003	-1.3599e-002	
8287	4.9585e-002	-3.4152e-003	-1.3362e-002	
8289	4.9585e-002	-4.5092e-003	-1.3033e-002	
8291	4.9584e-002	-5.5693e-003	-1.2617e-002	
8293	4.9584e-002	-6.5907e-003	-1.2115e-002	
8295	4.9584e-002	-7.5633e-003	-1.1532e-002	
