Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1	5.713e-002	1.6334e-002	-1.1607e-003	
2	5.713e-002	1.6376e-002	7.0563e-007	
3	5.5126e-002	1.6323e-002	-1.1632e-003	
4	5.5126e-002	1.6364e-002	7.2739e-007	
9	5.3123e-002	1.6313e-002	-1.1659e-003	
10	5.3123e-002	1.6355e-002	7.4966e-007	
13	5.1119e-002	1.6304e-002	-1.1687e-003	
14	5.1119e-002	1.6346e-002	7.7204e-007	
17	4.9116e-002	1.6285e-002	-1.1711e-003	
18	4.9116e-002	1.6327e-002	7.9218e-007	
21	4.7114e-002	1.6247e-002	-1.1727e-003	
22	4.7113e-002	1.629e-002	8.0768e-007	
25	4.5112e-002	1.6185e-002	-1.1733e-003	
26	4.5111e-002	1.6228e-002	8.172e-007	
29	4.3111e-002	1.6102e-002	-1.1731e-003	
30	4.3109e-002	1.6145e-002	8.2159e-007	
33	4.1111e-002	1.6003e-002	-1.1724e-003	
34	4.1108e-002	1.6046e-002	8.2208e-007	
37	3.9111e-002	1.5893e-002	-1.1714e-003	
38	3.9107e-002	1.5936e-002	8.1983e-007	
41	3.7112e-002	1.5777e-002	-1.1703e-003	
42	3.7107e-002	1.582e-002	8.1596e-007	
45	3.5114e-002	1.5652e-002	-1.169e-003	
46	3.5108e-002	1.5695e-002	8.0995e-007	
49	3.3117e-002	1.5508e-002	-1.1673e-003	
50	3.311e-002	1.5551e-002	7.9919e-007	
53	3.1124e-002	1.5335e-002	-1.1647e-003	
54	3.1114e-002	1.5379e-002	7.8133e-007	
57	2.9136e-002	1.5124e-002	-1.1609e-003	
58	2.9121e-002	1.5167e-002	7.5395e-007	
61	2.7155e-002	1.4866e-002	-1.1558e-003	
62	2.7135e-002	1.4908e-002	7.1492e-007	
65	2.518e-002	1.4566e-002	-1.1498e-003	
66	2.5154e-002	1.4607e-002	6.6564e-007	
69	2.3209e-002	1.4237e-002	-1.1435e-003	
70	2.3178e-002	1.4278e-002	6.4365e-007	
73	2.1239e-002	1.3894e-002	-1.1377e-003	
74	2.1204e-002	1.3934e-002	6.4782e-007	
77	1.9268e-002	1.3551e-002	-1.1329e-003	
78	1.923e-002	1.3592e-002	6.5206e-007	
81	1.7295e-002	1.3218e-002	-1.1295e-003	
82	1.7254e-002	1.3259e-002	6.588e-007	
85	1.5328e-002	1.2877e-002	-1.1269e-003	
86	1.528e-002	1.2918e-002	6.6342e-007	
89	1.3373e-002	1.2498e-002	-1.124e-003	
90	1.3314e-002	1.2536e-002	6.5801e-007	
93	1.1439e-002	1.2051e-002	-1.1204e-003	
94	1.1362e-002	1.2083e-002	6.3488e-007	
97	9.5362e-003	1.1509e-002	-1.1155e-003	
98	9.436e-003	1.1532e-002	5.8754e-007	
101	7.6627e-003	1.0864e-002	-1.111e-003	
102	7.5425e-003	1.0877e-002	5.1512e-007	
105	5.7822e-003	1.0184e-002	-1.1135e-003	
106	5.6564e-003	1.0202e-002	4.3859e-007	
109	3.846e-003	9.5758e-003	-1.1264e-003	
110	3.741e-003	9.6144e-003	3.8297e-007	
113	1.8141e-003	9.1789e-003	-1.1447e-003	
114	1.7718e-003	9.2457e-003	3.7841e-007	
117	-2.894e-004	9.1897e-003	-1.1499e-003	
118	-2.2836e-004	9.2537e-003	3.6683e-007	
121	-2.3214e-003	9.7286e-003	-1.136e-003	
122	-2.1724e-003	9.7385e-003	3.7331e-007	
125	-4.1698e-003	1.0642e-002	-1.1275e-003	
126	-3.9841e-003	1.0594e-002	4.6397e-007	
129	-5.8484e-003	1.1771e-002	-1.1384e-003	
130	-5.6617e-003	1.1688e-002	4.7053e-007	
133	-7.3984e-003	1.3033e-002	-1.1681e-003	
134	-7.2281e-003	1.2938e-002	5.0334e-007	
137	-8.8533e-003	1.4379e-002	-1.212e-003	
138	-8.7073e-003	1.4289e-002	5.5967e-007	
141	-1.0238e-002	1.5782e-002	-1.2662e-003	
142	-1.012e-002	1.5709e-002	6.3216e-007	
145	-1.1575e-002	1.7221e-002	-1.3278e-003	
146	-1.1486e-002	1.7175e-002	7.1498e-007	
149	-1.2888e-002	1.8676e-002	-1.394e-003	
150	-1.2829e-002	1.8661e-002	8.0261e-007	
153	-1.4201e-002	2.0129e-002	-1.4631e-003	
154	-1.4171e-002	2.0149e-002	8.9042e-007	
157	-1.5536e-002	2.1564e-002	-1.5336e-003	
158	-1.5535e-002	2.1617e-002	9.7528e-007	
161	-1.6918e-002	2.2959e-002	-1.6044e-003	
162	-1.6944e-002	2.304e-002	1.0496e-006	
165	-1.838e-002	2.4282e-002	-1.6741e-003	
166	-1.8431e-002	2.4383e-002	1.1044e-006	
169	-1.9966e-002	2.5478e-002	-1.7401e-003	
170	-2.0035e-002	2.5583e-002	1.151e-006	
173	-2.171e-002	2.6469e-002	-1.7979e-003	
174	-2.1782e-002	2.6564e-002	1.2655e-006	
177	-2.3589e-002	2.7208e-002	-1.8435e-003	
178	-2.3649e-002	2.7289e-002	1.3211e-006	
181	-2.5557e-002	2.7687e-002	-1.8744e-003	
