1,5.71E-02,1.42E-03,-1.89E-02,443.58
2,5.71E-02,-2.17E-19,-1.89E-02,443.59
3,5.71E-02,1.29E-03,-1.72E-02,468.85
4,5.71E-02,5.66E-10,-1.72E-02,468.87
5,5.46E-02,1.42E-03,-1.89E-02,443.87
6,5.46E-02,5.49E-08,-1.89E-02,443.86
7,5.46E-02,1.30E-03,-1.72E-02,469.4
8,5.46E-02,4.51E-08,-1.72E-02,469.4
9,5.21E-02,1.43E-03,-1.89E-02,444.04
10,5.21E-02,1.10E-07,-1.89E-02,444.03
11,5.21E-02,1.30E-03,-1.72E-02,469.59
12,5.21E-02,9.11E-08,-1.72E-02,469.58
13,4.97E-02,1.43E-03,-1.89E-02,444.2
14,4.97E-02,1.64E-07,-1.89E-02,444.2
15,4.97E-02,1.30E-03,-1.72E-02,469.76
16,4.97E-02,1.35E-07,-1.72E-02,469.75
17,4.72E-02,1.44E-03,-1.88E-02,444.82
18,4.72E-02,2.10E-07,-1.89E-02,444.81
19,4.72E-02,1.31E-03,-1.71E-02,470.46
20,4.72E-02,1.72E-07,-1.72E-02,470.45
21,4.47E-02,1.44E-03,-1.87E-02,446.15
22,4.47E-02,2.45E-07,-1.88E-02,446.14
23,4.47E-02,1.31E-03,-1.70E-02,472.03
24,4.47E-02,1.97E-07,-1.71E-02,472.03
25,4.22E-02,1.44E-03,-1.86E-02,448.08
26,4.22E-02,2.71E-07,-1.87E-02,448.08
27,4.22E-02,1.31E-03,-1.69E-02,474.31
28,4.22E-02,2.14E-07,-1.70E-02,474.31
29,3.97E-02,1.44E-03,-1.85E-02,450.42
30,3.97E-02,2.91E-07,-1.86E-02,450.42
31,3.98E-02,1.31E-03,-1.68E-02,477.06
32,3.98E-02,2.25E-07,-1.68E-02,477.06
33,3.73E-02,1.44E-03,-1.84E-02,452.96
34,3.72E-02,3.07E-07,-1.84E-02,452.96
35,3.73E-02,1.31E-03,-1.67E-02,480.03
36,3.73E-02,2.31E-07,-1.67E-02,480.02
37,3.48E-02,1.43E-03,-1.82E-02,455.73
38,3.48E-02,3.18E-07,-1.83E-02,455.73
39,3.48E-02,1.31E-03,-1.65E-02,483.22
40,3.48E-02,2.34E-07,-1.65E-02,483.22
41,3.23E-02,1.43E-03,-1.80E-02,459.16
42,3.23E-02,3.19E-07,-1.81E-02,459.17
43,3.23E-02,1.30E-03,-1.63E-02,487.18
44,3.23E-02,2.26E-07,-1.64E-02,487.19
45,2.98E-02,1.43E-03,-1.78E-02,463.79
46,2.98E-02,3.04E-07,-1.78E-02,463.82
47,2.99E-02,1.30E-03,-1.61E-02,492.52
48,2.99E-02,2.04E-07,-1.61E-02,492.55
49,2.74E-02,1.42E-03,-1.75E-02,470.18
50,2.74E-02,2.68E-07,-1.75E-02,470.24
51,2.74E-02,1.29E-03,-1.58E-02,499.93
52,2.74E-02,1.93E-07,-1.58E-02,500
53,2.49E-02,1.42E-03,-1.71E-02,478.48
54,2.49E-02,2.12E-07,-1.71E-02,478.59
55,2.50E-02,1.29E-03,-1.54E-02,509.61
56,2.50E-02,1.72E-07,-1.54E-02,509.73
57,2.25E-02,1.41E-03,-1.67E-02,488.29
58,2.25E-02,1.43E-07,-1.67E-02,488.45
59,2.26E-02,1.28E-03,-1.50E-02,520.98
60,2.25E-02,1.37E-07,-1.50E-02,521.16
61,2.00E-02,1.40E-03,-1.62E-02,499.08
62,2.00E-02,7.05E-08,-1.63E-02,499.27
63,2.01E-02,1.27E-03,-1.45E-02,533.49
64,2.01E-02,9.88E-08,-1.46E-02,533.7
65,1.76E-02,1.40E-03,-1.58E-02,510.37
66,1.76E-02,7.79E-08,-1.59E-02,510.59
67,1.77E-02,1.27E-03,-1.41E-02,546.45
68,1.76E-02,1.14E-07,-1.42E-02,546.69
69,1.52E-02,1.39E-03,-1.54E-02,522.64
70,1.51E-02,1.13E-07,-1.54E-02,522.95
71,1.53E-02,1.27E-03,-1.37E-02,560.46
72,1.52E-02,1.47E-07,-1.37E-02,560.8
73,1.28E-02,1.39E-03,-1.49E-02,537.64
74,1.27E-02,1.29E-07,-1.49E-02,538.16
75,1.28E-02,1.26E-03,-1.32E-02,577.66
76,1.28E-02,1.63E-07,-1.32E-02,578.24
77,1.04E-02,1.38E-03,-1.43E-02,557.06
78,1.03E-02,1.13E-07,-1.43E-02,558
79,1.05E-02,1.26E-03,-1.26E-02,599.96
80,1.04E-02,1.45E-07,-1.26E-02,601
81,8.03E-03,1.37E-03,-1.36E-02,581.55
82,7.91E-03,5.15E-08,-1.36E-02,582.98
83,8.13E-03,1.25E-03,-1.19E-02,628.28
84,8.00E-03,8.24E-08,-1.19E-02,629.87
85,5.69E-03,1.37E-03,-1.27E-02,606.46
86,5.56E-03,-2.50E-08,-1.28E-02,607.65
87,5.79E-03,1.26E-03,-1.10E-02,656.29
88,5.66E-03,2.24E-09,-1.11E-02,657.54
89,3.26E-03,1.38E-03,-1.20E-02,619.04
90,3.17E-03,-5.99E-08,-1.21E-02,619.1
91,3.38E-03,1.27E-03,-1.03E-02,670.58
92,3.28E-03,-4.05E-08,-1.04E-02,670.62
93,6.87E-04,1.40E-03,-1.17E-02,604.87
94,7.01E-04,1.77E-08,-1.18E-02,605.09
95,8.23E-04,1.29E-03,-9.98E-03,658.92
96,8.24E-04,-1.56E-08,-1.01E-02,658.88
97,-1.89E-03,1.39E-03,-1.22E-02,561.79
98,-1.75E-03,-6.01E-08,-1.22E-02,564.76
99,-1.76E-03,1.29E-03,-1.03E-02,616.79
