Node Number	X Location (m)	Y Location (m)	Z Location (m)	
225	-7.3427e-002	2.3812e-003	-3.244e-002	
226	-7.3427e-002	8.2371e-008	-3.2527e-002	
229	-7.591e-002	2.3844e-003	-3.2428e-002	
230	-7.591e-002	7.294e-008	-3.2516e-002	
233	-7.8393e-002	2.388e-003	-3.2423e-002	
234	-7.8394e-002	6.5344e-008	-3.2512e-002	
237	-8.0876e-002	2.3921e-003	-3.2426e-002	
238	-8.0877e-002	5.986e-008	-3.2514e-002	
241	-8.336e-002	2.3964e-003	-3.2431e-002	
242	-8.336e-002	5.5349e-008	-3.252e-002	
245	-8.5843e-002	2.4008e-003	-3.2436e-002	
246	-8.5844e-002	5.0633e-008	-3.2525e-002	
249	-8.8327e-002	2.405e-003	-3.2436e-002	
250	-8.8327e-002	4.4654e-008	-3.2526e-002	
253	-9.081e-002	2.409e-003	-3.2433e-002	
254	-9.081e-002	3.7594e-008	-3.2523e-002	
257	-9.3293e-002	2.4131e-003	-3.2429e-002	
258	-9.3293e-002	3.0329e-008	-3.2519e-002	
261	-9.5777e-002	2.4174e-003	-3.2428e-002	
262	-9.5777e-002	2.3743e-008	-3.2518e-002	
265	-9.826e-002	2.4219e-003	-3.243e-002	
266	-9.826e-002	1.8427e-008	-3.2521e-002	
269	-0.10074	2.4266e-003	-3.2433e-002	
270	-0.10074	1.3186e-008	-3.2525e-002	
273	-0.10323	2.431e-003	-3.243e-002	
274	-0.10323	6.1432e-009	-3.2522e-002	
277	-0.10571	2.4348e-003	-3.2414e-002	
278	-0.10571	-4.5744e-009	-3.2506e-002	
561	5.71e-002	2.8346e-003	-1.8738e-002	
563	5.4617e-002	2.841e-003	-1.8721e-002	
565	5.2133e-002	2.8482e-003	-1.871e-002	
567	4.965e-002	2.855e-003	-1.8692e-002	
569	4.7169e-002	2.8593e-003	-1.8649e-002	
571	4.4688e-002	2.8602e-003	-1.857e-002	
573	4.2209e-002	2.8584e-003	-1.8461e-002	
575	3.9731e-002	2.8549e-003	-1.8331e-002	
577	3.7255e-002	2.8508e-003	-1.8188e-002	
579	3.478e-002	2.8459e-003	-1.8031e-002	
581	3.2309e-002	2.8388e-003	-1.7843e-002	
583	2.9847e-002	2.8279e-003	-1.7604e-002	
585	2.7396e-002	2.812e-003	-1.7299e-002	
587	2.4955e-002	2.7916e-003	-1.6926e-002	
589	2.2519e-002	2.7698e-003	-1.6511e-002	
591	2.0083e-002	2.7491e-003	-1.6078e-002	
593	1.7646e-002	2.7321e-003	-1.5651e-002	
595	1.5218e-002	2.7176e-003	-1.5218e-002	
597	1.2817e-002	2.7018e-003	-1.4729e-002	
599	1.0459e-002	2.6821e-003	-1.4136e-002	
601	8.1447e-003	2.657e-003	-1.3398e-002	
603	5.8109e-003	2.6404e-003	-1.2573e-002	
605	3.3445e-003	2.6471e-003	-1.1844e-002	
607	6.6993e-004	2.6657e-003	-1.1524e-002	
609	-2.0244e-003	2.6722e-003	-1.2015e-002	
611	-4.4125e-003	2.6975e-003	-1.3182e-002	
613	-6.4748e-003	2.7723e-003	-1.4667e-002	
615	-8.3109e-003	2.893e-003	-1.631e-002	
617	-9.9908e-003	3.0467e-003	-1.8046e-002	
619	-1.1564e-002	3.2227e-003	-1.9838e-002	
621	-1.3083e-002	3.4119e-003	-2.1653e-002	
623	-1.459e-002	3.6084e-003	-2.3468e-002	
625	-1.6126e-002	3.8083e-003	-2.5262e-002	
627	-1.7739e-002	4.0083e-003	-2.7006e-002	
629	-1.95e-002	4.2042e-003	-2.8649e-002	
631	-2.1495e-002	4.3851e-003	-3.0087e-002	
633	-2.3741e-002	4.5346e-003	-3.121e-002	
635	-2.6174e-002	4.6374e-003	-3.1946e-002	
637	-2.869e-002	4.691e-003	-3.2311e-002	
639	-3.1215e-002	4.7082e-003	-3.2405e-002	
641	-3.372e-002	4.7037e-003	-3.2335e-002	
643	-3.6203e-002	4.691e-003	-3.2197e-002	
645	-3.8672e-002	4.6818e-003	-3.2084e-002	
647	-4.1141e-002	4.684e-003	-3.2064e-002	
649	-4.3617e-002	4.695e-003	-3.2114e-002	
651	-4.6099e-002	4.7091e-003	-3.2188e-002	
653	-4.8588e-002	4.7207e-003	-3.224e-002	
655	-5.1078e-002	4.7261e-003	-3.2241e-002	
657	-5.3564e-002	4.7275e-003	-3.2208e-002	
659	-5.6046e-002	4.7279e-003	-3.2166e-002	
661	-5.8527e-002	4.7305e-003	-3.2139e-002	
663	-6.1007e-002	4.7364e-003	-3.2141e-002	
665	-6.349e-002	4.7445e-003	-3.2158e-002	
667	-6.5973e-002	4.753e-003	-3.2179e-002	
669	-6.8458e-002	4.7605e-003	-3.219e-002	
671	-7.0943e-002	4.7664e-003	-3.2187e-002	
673	-7.3426e-002	4.7715e-003	-3.2175e-002	
675	-7.5909e-002	4.7766e-003	-3.2164e-002	
677	-7.8392e-002	4.7826e-003	-3.2158e-002	
679	-8.0875e-002	4.7896e-003	-3.2159e-002	
681	-8.3359e-002	4.7971e-003	-3.2164e-002	
683	-8.5842e-002	4.8046e-003	-3.2168e-002	
685	-8.8326e-002	4.8117e-003	-3.2168e-002	
687	-9.0809e-002	4.8185e-003	-3.2164e-002	
689	-9.3293e-002	4.8254e-003	-3.2159e-002	
691	-9.5776e-002	4.8327e-003	-3.2157e-002	
693	-9.826e-002	4.8405e-003	-3.2159e-002	
695	-0.10074	4.8485e-003	-3.2161e-002	
697	-0.10323	4.8559e-003	-3.2157e-002	
699	-0.10571	4.8621e-003	-3.214e-002	
841	5.71e-002	4.2271e-003	-1.8474e-002	
843	5.4617e-002	4.2344e-003	-1.8456e-002	
845	5.2133e-002	4.2431e-003	-1.8444e-002	
847	4.965e-002	4.2508e-003	-1.8425e-002	
849	4.7169e-002	4.2547e-003	-1.8381e-002	
851	4.4689e-002	4.2529e-003	-1.8302e-002	
853	4.221e-002	4.2467e-003	-1.8193e-002	
855	3.9733e-002	4.2377e-003	-1.8062e-002	
857	3.7257e-002	4.2274e-003	-1.7918e-002	
859	3.4783e-002	4.2157e-003	-1.7761e-002	
861	3.2315e-002	4.2003e-003	-1.7573e-002	
863	2.9856e-002	4.1784e-003	-1.7335e-002	
865	2.741e-002	4.1479e-003	-1.703e-002	
867	2.4974e-002	4.1098e-003	-1.6659e-002	
869	2.2543e-002	4.0684e-003	-1.6245e-002	
871	2.0111e-002	4.0279e-003	-1.5812e-002	
873	1.7677e-002	3.9923e-003	-1.5384e-002	
875	1.5255e-002	3.9603e-003	-1.495e-002	
877	1.2867e-002	3.9257e-003	-1.4462e-002	
879	1.0529e-002	3.8842e-003	-1.3874e-002	
881	8.2351e-003	3.8326e-003	-1.3143e-002	
883	5.9062e-003	3.787e-003	-1.231e-002	
885	3.4094e-003	3.7702e-003	-1.1551e-002	
887	6.5211e-004	3.7814e-003	-1.1208e-002	
889	-2.1391e-003	3.8121e-003	-1.1746e-002	
891	-4.5744e-003	3.8925e-003	-1.2985e-002	
893	-6.6396e-003	4.0417e-003	-1.4509e-002	
895	-8.4575e-003	4.2498e-003	-1.6159e-002	
897	-1.011e-002	4.4998e-003	-1.7876e-002	
899	-1.1653e-002	4.7774e-003	-1.963e-002	
901	-1.314e-002	5.0712e-003	-2.1397e-002	
